Data As Of,Start Date,End Date,Group,Year,Month,State,Place of Death,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
06/28/2023,08/01/2020,08/31/2020,By Month,2020,8,Illinois,Hospice facility,11,377,20,,0,28,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,08/01/2020,08/31/2020,By Month,2020,8,Illinois,Nursing home/long term care facility,135,1616,73,24,0,184,
06/28/2023,08/01/2020,08/31/2020,By Month,2020,8,Illinois,Other,15,708,12,,0,22,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,08/01/2020,08/31/2020,By Month,2020,8,Illinois,Place of death unknown,0,0,0,0,0,0,
06/28/2023,09/01/2020,09/30/2020,By Month,2020,9,Illinois,Total - All Places of Death,552,9235,671,239,,987,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,09/01/2020,09/30/2020,By Month,2020,9,Illinois,"Healthcare setting, inpatient",345,2705,500,201,,646,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,09/01/2020,09/30/2020,By Month,2020,9,Illinois,"Healthcare setting, outpatient or emergency room",17,667,20,,0,31,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,09/01/2020,09/30/2020,By Month,2020,9,Illinois,"Healthcare setting, dead on arrival",0,23,0,0,0,0,
06/28/2023,09/01/2020,09/30/2020,By Month,2020,9,Illinois,Decedent's home,30,3254,49,,0,75,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,09/01/2020,09/30/2020,By Month,2020,9,Illinois,Hospice facility,,349,24,,0,28,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,09/01/2020,09/30/2020,By Month,2020,9,Illinois,Nursing home/long term care facility,134,1552,76,22,,189,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,09/01/2020,09/30/2020,By Month,2020,9,Illinois,Other,17,685,,,0,18,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,09/01/2020,09/30/2020,By Month,2020,9,Illinois,Place of death unknown,0,0,0,0,0,0,
06/28/2023,10/01/2020,10/31/2020,By Month,2020,10,Illinois,Total - All Places of Death,1084,10275,958,484,,1560,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,10/01/2020,10/31/2020,By Month,2020,10,Illinois,"Healthcare setting, inpatient",603,3048,698,385,,917,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,10/01/2020,10/31/2020,By Month,2020,10,Illinois,"Healthcare setting, outpatient or emergency room",35,744,30,,0,57,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,10/01/2020,10/31/2020,By Month,2020,10,Illinois,"Healthcare setting, dead on arrival",,26,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,10/01/2020,10/31/2020,By Month,2020,10,Illinois,Decedent's home,81,3468,78,23,,137,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,10/01/2020,10/31/2020,By Month,2020,10,Illinois,Hospice facility,15,433,33,11,0,37,
06/28/2023,10/01/2020,10/31/2020,By Month,2020,10,Illinois,Nursing home/long term care facility,323,1846,110,56,0,377,
06/28/2023,10/01/2020,10/31/2020,By Month,2020,10,Illinois,Other,26,710,,,0,34,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,10/01/2020,10/31/2020,By Month,2020,10,Illinois,Place of death unknown,0,0,0,0,0,0,
06/28/2023,11/01/2020,11/30/2020,By Month,2020,11,Illinois,Total - All Places of Death,3344,12844,2039,1597,0,3786,
06/28/2023,11/01/2020,11/30/2020,By Month,2020,11,Illinois,"Healthcare setting, inpatient",2023,4360,1522,1256,0,2289,
06/28/2023,11/01/2020,11/30/2020,By Month,2020,11,Illinois,"Healthcare setting, outpatient or emergency room",104,817,43,27,0,120,
06/28/2023,11/01/2020,11/30/2020,By Month,2020,11,Illinois,"Healthcare setting, dead on arrival",,23,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,11/01/2020,11/30/2020,By Month,2020,11,Illinois,Decedent's home,268,4000,124,67,0,325,
06/28/2023,11/01/2020,11/30/2020,By Month,2020,11,Illinois,Hospice facility,69,421,66,38,0,97,
06/28/2023,11/01/2020,11/30/2020,By Month,2020,11,Illinois,Nursing home/long term care facility,768,2363,245,182,0,831,
06/28/2023,11/01/2020,11/30/2020,By Month,2020,11,Illinois,Other,108,860,37,25,0,120,
06/28/2023,11/01/2020,11/30/2020,By Month,2020,11,Illinois,Place of death unknown,0,0,0,0,0,0,
06/28/2023,12/01/2020,12/31/2020,By Month,2020,12,Illinois,Total - All Places of Death,4182,14077,2522,2003,,4703,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,12/01/2020,12/31/2020,By Month,2020,12,Illinois,"Healthcare setting, inpatient",2509,5044,1911,1583,0,2837,
06/28/2023,12/01/2020,12/31/2020,By Month,2020,12,Illinois,"Healthcare setting, outpatient or emergency room",132,858,64,40,0,156,
06/28/2023,12/01/2020,12/31/2020,By Month,2020,12,Illinois,"Healthcare setting, dead on arrival",,30,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,12/01/2020,12/31/2020,By Month,2020,12,Illinois,Decedent's home,275,4169,133,76,,333,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,12/01/2020,12/31/2020,By Month,2020,12,Illinois,Hospice facility,76,441,51,35,0,92,
06/28/2023,12/01/2020,12/31/2020,By Month,2020,12,Illinois,Nursing home/long term care facility,1046,2641,307,232,,1122,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,12/01/2020,12/31/2020,By Month,2020,12,Illinois,Other,143,894,55,36,0,162,
06/28/2023,12/01/2020,12/31/2020,By Month,2020,12,Illinois,Place of death unknown,0,0,0,0,0,0,
06/28/2023,01/01/2021,01/31/2021,By Month,2021,1,Illinois,Total - All Places of Death,2407,11942,1833,1313,,2928,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2021,01/31/2021,By Month,2021,1,Illinois,"Healthcare setting, inpatient",1545,4059,1414,1071,,1888,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2021,01/31/2021,By Month,2021,1,Illinois,"Healthcare setting, outpatient or emergency room",65,754,35,18,0,82,
06/28/2023,01/01/2021,01/31/2021,By Month,2021,1,Illinois,"Healthcare setting, dead on arrival",,31,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2021,01/31/2021,By Month,2021,1,Illinois,Decedent's home,179,3891,116,54,,242,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2021,01/31/2021,By Month,2021,1,Illinois,Hospice facility,57,406,47,25,0,79,
06/28/2023,01/01/2021,01/31/2021,By Month,2021,1,Illinois,Nursing home/long term care facility,489,2056,193,130,0,552,
06/28/2023,01/01/2021,01/31/2021,By Month,2021,1,Illinois,Other,68,745,27,15,0,80,
06/28/2023,01/01/2021,01/31/2021,By Month,2021,1,Illinois,Place of death unknown,0,0,0,0,0,0,
06/28/2023,02/01/2021,02/28/2021,By Month,2021,2,Illinois,Total - All Places of Death,1075,9767,1020,598,,1498,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,02/01/2021,02/28/2021,By Month,2021,2,Illinois,"Healthcare setting, inpatient",703,3072,786,485,,1005,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,02/01/2021,02/28/2021,By Month,2021,2,Illinois,"Healthcare setting, outpatient or emergency room",38,667,25,12,0,51,
06/28/2023,02/01/2021,02/28/2021,By Month,2021,2,Illinois,"Healthcare setting, dead on arrival",,17,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,02/01/2021,02/28/2021,By Month,2021,2,Illinois,Decedent's home,115,3478,83,40,0,158,
06/28/2023,02/01/2021,02/28/2021,By Month,2021,2,Illinois,Hospice facility,26,371,31,12,0,45,
06/28/2023,02/01/2021,02/28/2021,By Month,2021,2,Illinois,Nursing home/long term care facility,161,1528,80,42,0,199,
06/28/2023,02/01/2021,02/28/2021,By Month,2021,2,Illinois,Other,31,634,15,,0,39,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,02/01/2021,02/28/2021,By Month,2021,2,Illinois,Place of death unknown,0,0,0,0,0,0,
06/28/2023,03/01/2021,03/31/2021,By Month,2021,3,Illinois,Total - All Places of Death,554,9445,729,319,,964,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,03/01/2021,03/31/2021,By Month,2021,3,Illinois,"Healthcare setting, inpatient",385,2797,566,269,,682,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,03/01/2021,03/31/2021,By Month,2021,3,Illinois,"Healthcare setting, outpatient or emergency room",25,613,21,,0,38,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,03/01/2021,03/31/2021,By Month,2021,3,Illinois,"Healthcare setting, dead on arrival",0,19,0,0,0,0,
06/28/2023,03/01/2021,03/31/2021,By Month,2021,3,Illinois,Decedent's home,66,3511,55,20,0,101,
06/28/2023,03/01/2021,03/31/2021,By Month,2021,3,Illinois,Hospice facility,17,398,22,,0,31,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,03/01/2021,03/31/2021,By Month,2021,3,Illinois,Nursing home/long term care facility,47,1424,54,11,0,90,
06/28/2023,03/01/2021,03/31/2021,By Month,2021,3,Illinois,Other,14,683,11,,0,22,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,03/01/2021,03/31/2021,By Month,2021,3,Illinois,Place of death unknown,0,0,0,0,0,0,
06/28/2023,04/01/2021,04/30/2021,By Month,2021,4,Illinois,Total - All Places of Death,738,9383,852,464,0,1126,
06/28/2023,04/01/2021,04/30/2021,By Month,2021,4,Illinois,"Healthcare setting, inpatient",543,2875,668,397,0,814,
06/28/2023,04/01/2021,04/30/2021,By Month,2021,4,Illinois,"Healthcare setting, outpatient or emergency room",34,661,26,15,0,45,
06/28/2023,04/01/2021,04/30/2021,By Month,2021,4,Illinois,"Healthcare setting, dead on arrival",0,17,0,0,0,0,
06/28/2023,04/01/2021,04/30/2021,By Month,2021,4,Illinois,Decedent's home,92,3466,70,25,0,137,
06/28/2023,04/01/2021,04/30/2021,By Month,2021,4,Illinois,Hospice facility,13,342,22,,0,26,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,04/01/2021,04/30/2021,By Month,2021,4,Illinois,Nursing home/long term care facility,43,1379,56,14,0,85,
06/28/2023,04/01/2021,04/30/2021,By Month,2021,4,Illinois,Other,13,643,10,,0,19,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,04/01/2021,04/30/2021,By Month,2021,4,Illinois,Place of death unknown,0,0,0,0,0,0,
06/28/2023,05/01/2021,05/31/2021,By Month,2021,5,Illinois,Total - All Places of Death,766,9495,836,459,0,1143,
06/28/2023,05/01/2021,05/31/2021,By Month,2021,5,Illinois,"Healthcare setting, inpatient",588,2888,654,393,0,849,
06/28/2023,05/01/2021,05/31/2021,By Month,2021,5,Illinois,"Healthcare setting, outpatient or emergency room",31,677,25,13,0,43,
06/28/2023,05/01/2021,05/31/2021,By Month,2021,5,Illinois,"Healthcare setting, dead on arrival",0,32,0,0,0,0,
06/28/2023,05/01/2021,05/31/2021,By Month,2021,5,Illinois,Decedent's home,78,3383,78,27,0,129,
06/28/2023,05/01/2021,05/31/2021,By Month,2021,5,Illinois,Hospice facility,14,373,20,,0,27,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,05/01/2021,05/31/2021,By Month,2021,5,Illinois,Nursing home/long term care facility,47,1455,51,16,0,82,
06/28/2023,05/01/2021,05/31/2021,By Month,2021,5,Illinois,Other,,687,,,0,13,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,05/01/2021,05/31/2021,By Month,2021,5,Illinois,Place of death unknown,0,0,0,0,0,0,
06/28/2023,06/01/2021,06/30/2021,By Month,2021,6,Illinois,Total - All Places of Death,341,8911,581,221,0,701,
06/28/2023,06/01/2021,06/30/2021,By Month,2021,6,Illinois,"Healthcare setting, inpatient",261,2733,460,190,0,531,
06/28/2023,06/01/2021,06/30/2021,By Month,2021,6,Illinois,"Healthcare setting, outpatient or emergency room",,635,20,,0,22,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,06/01/2021,06/30/2021,By Month,2021,6,Illinois,"Healthcare setting, dead on arrival",0,25,0,0,0,0,
06/28/2023,06/01/2021,06/30/2021,By Month,2021,6,Illinois,Decedent's home,32,3196,38,10,0,60,
06/28/2023,06/01/2021,06/30/2021,By Month,2021,6,Illinois,Hospice facility,11,345,18,,0,24,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,06/01/2021,06/30/2021,By Month,2021,6,Illinois,Nursing home/long term care facility,27,1304,37,11,0,53,
06/28/2023,06/01/2021,06/30/2021,By Month,2021,6,Illinois,Other,,673,,0,0,11,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,06/01/2021,06/30/2021,By Month,2021,6,Illinois,Place of death unknown,0,0,0,0,0,0,
06/28/2023,07/01/2021,07/31/2021,By Month,2021,7,Illinois,Total - All Places of Death,234,9232,522,117,0,639,
06/28/2023,07/01/2021,07/31/2021,By Month,2021,7,Illinois,"Healthcare setting, inpatient",147,2724,398,97,0,448,
06/28/2023,07/01/2021,07/31/2021,By Month,2021,7,Illinois,"Healthcare setting, outpatient or emergency room",15,686,20,,0,29,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,07/01/2021,07/31/2021,By Month,2021,7,Illinois,"Healthcare setting, dead on arrival",0,32,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,07/01/2021,07/31/2021,By Month,2021,7,Illinois,Decedent's home,33,3221,45,,0,70,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,07/01/2021,07/31/2021,By Month,2021,7,Illinois,Hospice facility,,393,11,,0,14,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,07/01/2021,07/31/2021,By Month,2021,7,Illinois,Nursing home/long term care facility,23,1502,41,,0,59,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,07/01/2021,07/31/2021,By Month,2021,7,Illinois,Other,12,674,,0,0,18,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,07/01/2021,07/31/2021,By Month,2021,7,Illinois,Place of death unknown,0,0,0,0,0,0,
06/28/2023,08/01/2021,08/31/2021,By Month,2021,8,Illinois,Total - All Places of Death,740,9849,914,467,0,1187,
06/28/2023,08/01/2021,08/31/2021,By Month,2021,8,Illinois,"Healthcare setting, inpatient",528,3048,715,400,0,843,
06/28/2023,08/01/2021,08/31/2021,By Month,2021,8,Illinois,"Healthcare setting, outpatient or emergency room",41,701,32,16,0,57,
06/28/2023,08/01/2021,08/31/2021,By Month,2021,8,Illinois,"Healthcare setting, dead on arrival",0,33,0,0,0,0,
06/28/2023,08/01/2021,08/31/2021,By Month,2021,8,Illinois,Decedent's home,84,3324,63,23,0,124,
06/28/2023,08/01/2021,08/31/2021,By Month,2021,8,Illinois,Hospice facility,18,401,29,10,0,37,
06/28/2023,08/01/2021,08/31/2021,By Month,2021,8,Illinois,Nursing home/long term care facility,57,1627,60,14,0,103,
06/28/2023,08/01/2021,08/31/2021,By Month,2021,8,Illinois,Other,12,714,15,,0,23,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,08/01/2021,08/31/2021,By Month,2021,8,Illinois,Place of death unknown,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,09/01/2021,09/30/2021,By Month,2021,9,Illinois,Total - All Places of Death,1143,10066,1142,731,0,1554,
06/28/2023,09/01/2021,09/30/2021,By Month,2021,9,Illinois,"Healthcare setting, inpatient",883,3298,942,650,0,1175,
06/28/2023,09/01/2021,09/30/2021,By Month,2021,9,Illinois,"Healthcare setting, outpatient or emergency room",40,744,37,17,0,60,
06/28/2023,09/01/2021,09/30/2021,By Month,2021,9,Illinois,"Healthcare setting, dead on arrival",0,20,0,0,0,0,
06/28/2023,09/01/2021,09/30/2021,By Month,2021,9,Illinois,Decedent's home,94,3305,69,26,0,137,
06/28/2023,09/01/2021,09/30/2021,By Month,2021,9,Illinois,Hospice facility,11,432,19,,0,22,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,09/01/2021,09/30/2021,By Month,2021,9,Illinois,Nursing home/long term care facility,94,1517,63,26,0,131,
06/28/2023,09/01/2021,09/30/2021,By Month,2021,9,Illinois,Other,21,750,12,,0,29,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,09/01/2021,09/30/2021,By Month,2021,9,Illinois,Place of death unknown,0,0,0,0,0,0,
06/28/2023,10/01/2021,10/31/2021,By Month,2021,10,Illinois,Total - All Places of Death,885,10259,986,564,0,1307,
06/28/2023,10/01/2021,10/31/2021,By Month,2021,10,Illinois,"Healthcare setting, inpatient",651,3280,777,484,0,944,
06/28/2023,10/01/2021,10/31/2021,By Month,2021,10,Illinois,"Healthcare setting, outpatient or emergency room",28,746,31,12,0,47,
06/28/2023,10/01/2021,10/31/2021,By Month,2021,10,Illinois,"Healthcare setting, dead on arrival",,27,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,10/01/2021,10/31/2021,By Month,2021,10,Illinois,Decedent's home,92,3425,75,32,0,135,
06/28/2023,10/01/2021,10/31/2021,By Month,2021,10,Illinois,Hospice facility,17,420,29,13,0,33,
06/28/2023,10/01/2021,10/31/2021,By Month,2021,10,Illinois,Nursing home/long term care facility,73,1614,56,16,0,113,
06/28/2023,10/01/2021,10/31/2021,By Month,2021,10,Illinois,Other,23,747,18,,0,34,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,10/01/2021,10/31/2021,By Month,2021,10,Illinois,Place of death unknown,0,0,0,0,0,0,
06/28/2023,11/01/2021,11/30/2021,By Month,2021,11,Illinois,Total - All Places of Death,862,10419,998,512,,1349,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,11/01/2021,11/30/2021,By Month,2021,11,Illinois,"Healthcare setting, inpatient",611,3344,795,449,,958,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,11/01/2021,11/30/2021,By Month,2021,11,Illinois,"Healthcare setting, outpatient or emergency room",48,737,29,13,0,64,
06/28/2023,11/01/2021,11/30/2021,By Month,2021,11,Illinois,"Healthcare setting, dead on arrival",0,17,0,0,0,0,
06/28/2023,11/01/2021,11/30/2021,By Month,2021,11,Illinois,Decedent's home,105,3403,85,30,0,160,
06/28/2023,11/01/2021,11/30/2021,By Month,2021,11,Illinois,Hospice facility,,412,19,,0,25,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,11/01/2021,11/30/2021,By Month,2021,11,Illinois,Nursing home/long term care facility,71,1713,51,13,0,109,
06/28/2023,11/01/2021,11/30/2021,By Month,2021,11,Illinois,Other,19,793,19,,0,33,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,11/01/2021,11/30/2021,By Month,2021,11,Illinois,Place of death unknown,0,0,0,0,0,0,
06/28/2023,12/01/2021,12/31/2021,By Month,2021,12,Illinois,Total - All Places of Death,2043,12199,1794,1280,,2564,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,12/01/2021,12/31/2021,By Month,2021,12,Illinois,"Healthcare setting, inpatient",1479,4226,1448,1103,,1828,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,12/01/2021,12/31/2021,By Month,2021,12,Illinois,"Healthcare setting, outpatient or emergency room",129,960,69,43,0,155,
06/28/2023,12/01/2021,12/31/2021,By Month,2021,12,Illinois,"Healthcare setting, dead on arrival",,30,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,12/01/2021,12/31/2021,By Month,2021,12,Illinois,Decedent's home,241,3915,133,70,,306,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,12/01/2021,12/31/2021,By Month,2021,12,Illinois,Hospice facility,39,422,39,23,0,55,
06/28/2023,12/01/2021,12/31/2021,By Month,2021,12,Illinois,Nursing home/long term care facility,124,1879,89,33,,181,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,12/01/2021,12/31/2021,By Month,2021,12,Illinois,Other,28,767,14,,0,36,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,12/01/2021,12/31/2021,By Month,2021,12,Illinois,Place of death unknown,0,0,0,0,0,0,
06/28/2023,01/01/2022,01/31/2022,By Month,2022,1,Illinois,Total - All Places of Death,3911,14483,2781,2238,11,4462,
06/28/2023,01/01/2022,01/31/2022,By Month,2022,1,Illinois,"Healthcare setting, inpatient",2756,5489,2286,1929,,3117,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2022,01/31/2022,By Month,2022,1,Illinois,"Healthcare setting, outpatient or emergency room",208,1033,91,67,,233,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2022,01/31/2022,By Month,2022,1,Illinois,"Healthcare setting, dead on arrival",,28,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2022,01/31/2022,By Month,2022,1,Illinois,Decedent's home,422,4516,179,112,,491,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2022,01/31/2022,By Month,2022,1,Illinois,Hospice facility,92,471,68,52,0,108,
06/28/2023,01/01/2022,01/31/2022,By Month,2022,1,Illinois,Nursing home/long term care facility,355,2095,122,68,,410,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2022,01/31/2022,By Month,2022,1,Illinois,Other,75,851,34,10,0,99,
06/28/2023,01/01/2022,01/31/2022,By Month,2022,1,Illinois,Place of death unknown,0,0,0,0,0,0,
06/28/2023,02/01/2022,02/28/2022,By Month,2022,2,Illinois,Total - All Places of Death,1429,10115,1191,789,,1836,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,02/01/2022,02/28/2022,By Month,2022,2,Illinois,"Healthcare setting, inpatient",909,3345,903,631,,1182,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,02/01/2022,02/28/2022,By Month,2022,2,Illinois,"Healthcare setting, outpatient or emergency room",59,669,39,22,0,76,
06/28/2023,02/01/2022,02/28/2022,By Month,2022,2,Illinois,"Healthcare setting, dead on arrival",0,13,0,0,0,0,
06/28/2023,02/01/2022,02/28/2022,By Month,2022,2,Illinois,Decedent's home,175,3349,108,52,,233,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,02/01/2022,02/28/2022,By Month,2022,2,Illinois,Hospice facility,52,406,49,30,0,71,
06/28/2023,02/01/2022,02/28/2022,By Month,2022,2,Illinois,Nursing home/long term care facility,196,1627,77,48,,227,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,02/01/2022,02/28/2022,By Month,2022,2,Illinois,Other,38,706,15,,0,47,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,02/01/2022,02/28/2022,By Month,2022,2,Illinois,Place of death unknown,0,0,0,0,0,0,
06/28/2023,03/01/2022,03/31/2022,By Month,2022,3,Illinois,Total - All Places of Death,385,9489,573,172,,792,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,03/01/2022,03/31/2022,By Month,2022,3,Illinois,"Healthcare setting, inpatient",197,2822,397,118,,480,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,03/01/2022,03/31/2022,By Month,2022,3,Illinois,"Healthcare setting, outpatient or emergency room",13,640,16,,0,26,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,03/01/2022,03/31/2022,By Month,2022,3,Illinois,"Healthcare setting, dead on arrival",0,25,0,0,0,0,
06/28/2023,03/01/2022,03/31/2022,By Month,2022,3,Illinois,Decedent's home,72,3244,59,20,0,111,
06/28/2023,03/01/2022,03/31/2022,By Month,2022,3,Illinois,Hospice facility,12,421,30,,0,39,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,03/01/2022,03/31/2022,By Month,2022,3,Illinois,Nursing home/long term care facility,83,1614,60,27,,118,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,03/01/2022,03/31/2022,By Month,2022,3,Illinois,Other,,723,11,,0,18,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,03/01/2022,03/31/2022,By Month,2022,3,Illinois,Place of death unknown,0,0,0,0,0,0,
06/28/2023,04/01/2022,04/30/2022,By Month,2022,4,Illinois,Total - All Places of Death,174,8901,459,55,14,591,
06/28/2023,04/01/2022,04/30/2022,By Month,2022,4,Illinois,"Healthcare setting, inpatient",84,2597,338,40,10,391,
06/28/2023,04/01/2022,04/30/2022,By Month,2022,4,Illinois,"Healthcare setting, outpatient or emergency room",11,636,12,,0,21,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,04/01/2022,04/30/2022,By Month,2022,4,Illinois,"Healthcare setting, dead on arrival",0,16,0,0,0,0,
06/28/2023,04/01/2022,04/30/2022,By Month,2022,4,Illinois,Decedent's home,30,3082,31,,,60,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,04/01/2022,04/30/2022,By Month,2022,4,Illinois,Hospice facility,,342,17,0,0,20,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
